word,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables
Sucht,3.238095,2.427758,6.349206,1.952325,7.564516,1.996891,5,1
Tango,6.25,2.130653,4.796875,2.495581,3.774194,2.418639,5,2
Tänzer,5.904762,2.005752,5.52381,2.638775,3.31746,2.263493,6,2
Tasche,5.09375,1.136952,2.412698,1.880588,1.596774,1.151758,6,2
Tragik,4.171875,2.059085,5.09375,2.293668,8.290323,0.964741,6,2
Tripper,3.142857,2.663112,6.265625,2.463977,4.951613,3.091116,7,2
Triumph,6.419355,2.243741,6.301587,2.550363,7.387097,1.986469,7,2
Tugend,6.225807,2.1533,4.603175,2.366021,7.548387,2.013702,6,2
Urin,3.671875,1.782229,6.31746,2.220327,2.222222,1.72687,4,2
Urne,3.5625,2.114763,4.809524,2.558081,2,1.45912,4,2
Vortrag,5.28125,1.147375,2.725807,2.073797,4.888889,2.609605,7,2
Wissen,6.15873,2.201219,4.68254,2.752274,7.870968,1.56272,6,2
Wohl,6.193548,1.982205,4.765625,2.355286,7.564516,2.093088,4,1
Wunsch,6.322581,2.046782,5.3125,2.455153,7.919355,1.518178,6,1
Würde,6.380952,2.253518,4.65625,2.405145,8.032258,1.792221,5,2
Zeitung,5.5625,1.592393,2.419355,1.625094,1.380952,0.705476,7,2
Zelt,5.734375,1.555759,3.269841,2.208534,1.460318,0.839074,4,1
Zimmer,5.375,0.967733,2.650794,2.041179,2.238095,1.729388,6,2
Zufuhr,5.015625,0.577135,2.065574,1.681952,5.693548,2.460099,6,2
Zug,5.269841,1.050443,2.16129,1.601163,1.571429,1.102991,3,1
