item_nr,condition,text,corr_ans,is_practice_trial
1,word,Haie,rshift,TRUE
1,pseudoword,Bage,lshift,TRUE
2,word,Mannes,rshift,TRUE
2,pseudoword,sanzes,lshift,TRUE
3,word,korrekt,rshift,TRUE
3,pseudoword,Torrerk,lshift,TRUE
4,word,sagt,rshift,TRUE
4,pseudoword,segt,lshift,TRUE
5,word,sicheren,rshift,TRUE
5,pseudoword,tobreren,lshift,TRUE
