word,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Lager,5.171875,1.1893,2.33871,2.032067,3.096774,2.434113,5,2,0,0,0,54,136.71603690000484,,5.0,18.75342239998281,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Irrsinn,3.9375,1.934441,5.539683,2.354306,7.419355,1.815673,7,2,0,1,1,50,155.5393238000106,,1.0,2.343426899984479,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Opfer,3.0,2.469165,6.428571,2.298066,4.968254,2.614897,5,2,0,2,2,61,157.9552295000176,,5.0,1.4700914999702945,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Pest,2.904762,2.860827,6.84127,2.171712,4.612903,2.932882,4,1,0,3,3,66,159.47127690003254,,5.0,1.9844631000305526,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Felsen,5.390625,1.304658,3.274194,2.166582,1.258065,0.541264,6,2,0,4,4,23,161.48728220001794,,5.0,1.0706062999670394,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Freibad,6.079365,2.034395,3.703125,2.14313,2.333333,2.047816,7,1,0,5,5,26,162.58692359999986,,5.0,1.8914591000066139,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Liebchen,6.206349,1.667127,5.09375,2.334821,6.428571,2.029733,8,2,0,6,6,56,164.51961389998905,,1.0,2.077795499993954,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Helfer,6.66129,2.475742,4.571429,2.600957,4.714286,2.696644,6,2,0,7,7,44,166.63557460001903,,5.0,1.727890699985437,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Anhang,5.015625,0.983873,2.33871,1.889952,6.016129,2.790452,6,2,0,8,8,3,168.40146419999655,,1.0,1.6569292999920435,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Wissen,6.15873,2.201219,4.68254,2.752274,7.870968,1.56272,6,2,0,9,9,91,170.08688150002854,,1.0,2.315061900008004,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Harem,4.953125,2.058121,5.140625,2.474423,4.190476,2.614211,5,2,0,10,10,41,172.45016680000117,,3.0,1.7891385999973863,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Mystik,5.730159,1.638315,4.90625,2.361858,7.887097,1.865167,6,2,0,11,11,60,174.28269979998004,,1.0,2.220897499995772,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Schal,5.203125,1.544881,2.507937,1.990891,1.634921,1.248245,5,1,0,12,12,72,176.5821367999888,,5.0,1.6939800000400282,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Härte,4.59375,1.874802,4.15625,2.324601,6.483871,2.494203,5,2,0,13,13,42,178.31472860003123,,1.0,2.2081204000278376,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Bündel,5.03125,0.835117,2.741936,2.087712,3.174603,2.317811,6,2,0,14,14,15,180.56401780003216,,5.0,1.4782273000455461,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Würde,6.380952,2.253518,4.65625,2.405145,8.032258,1.792221,5,2,0,15,15,94,182.0800726999878,,1.0,1.441325500025414,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Zimmer,5.375,0.967733,2.650794,2.041179,2.238095,1.729388,6,2,0,16,16,97,183.54977540002437,,5.0,1.6786519999732263,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Urin,3.671875,1.782229,6.31746,2.220327,2.222222,1.72687,4,2,0,17,17,88,185.26520929997787,,5.0,1.4411544000031427,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Fleiss,6.460318,1.941278,4.238095,2.204938,7.725807,1.651322,5,1,0,18,18,24,186.76173050003126,,1.0,1.6673830999643542,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Gedicht,6.333333,2.032002,4.634921,2.522809,3.777778,2.523723,7,2,0,19,19,29,188.47784900001716,,3.0,1.7756931000039913,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Tripper,3.142857,2.663112,6.265625,2.463977,4.951613,3.091116,7,2,0,20,20,85,190.3107078000321,,3.0,1.9288945000153035,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Bonbon,5.984127,1.755104,3.3125,2.069238,1.741936,1.213794,6,2,0,21,21,14,192.27660889999242,,5.0,1.6907559999963269,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Wohl,6.193548,1.982205,4.765625,2.355286,7.564516,2.093088,4,1,0,22,22,92,194.0091589000076,,1.0,1.9036705999751575,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Geisel,2.857143,2.64488,6.460318,2.298845,4.0,2.61145,6,2,0,23,23,33,195.9750866999966,,4.0,1.3158543999888934,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Produkt,5.140625,0.870453,2.253968,1.645799,4.380952,2.942616,7,2,0,24,24,69,197.3413912000251,,5.0,1.4579854999901727,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Becken,5.421875,1.44535,2.714286,2.01949,2.274194,1.738375,6,2,0,25,25,9,198.82499589998042,,5.0,0.9988718999666162,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Fluch,3.253968,2.257377,5.68254,2.428496,7.52381,1.82153,5,1,0,26,26,25,199.85805640002945,,3.0,1.4268185999826528,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Phobie,3.412698,2.460232,6.15625,2.365216,8.0,1.471032,6,2,0,27,27,67,201.33999629999744,,2.0,2.2047811999800615,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Meer,6.451613,2.413605,5.428571,2.716225,2.253968,2.078835,4,1,0,28,28,59,203.60710720001953,,4.0,1.5982957999804057,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Bankrott,3.063492,2.614309,5.1875,2.724813,6.16129,2.920777,8,2,0,29,29,8,205.2727712999913,,2.0,3.0482364000054076,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Hengst,5.453125,1.413424,4.285714,2.445724,2.209677,1.784607,6,1,0,30,30,45,208.40444439998828,,3.0,1.6960245000082068,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Schale,5.15873,0.936816,2.672131,1.989316,1.854839,1.597609,6,2,0,31,31,73,210.12202840001555,,5.0,1.110265800030902,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Faden,5.0625,0.61399,2.114754,1.761613,1.698413,1.041632,5,2,0,32,32,21,211.28659069997957,,5.0,1.0189957999973558,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Bestand,4.984375,0.845008,2.190476,1.664207,6.725807,2.416944,7,2,0,33,33,11,212.32349229999818,,5.0,1.062638400006108,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Butter,4.936508,0.948224,2.306452,1.825042,1.693548,1.064921,6,2,0,34,34,16,213.42067910003243,,5.0,1.3588418000144884,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Paar,6.492064,2.256696,5.095238,2.374015,4.174603,2.768135,4,1,0,35,35,63,214.8186854000087,,2.0,1.4120217000017874,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Denkmal,5.703125,1.465797,3.3125,2.046096,1.936508,1.63503,7,1,0,36,36,19,216.25380840001162,,4.0,1.8804980000131764,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Feind,3.079365,2.384774,7.0,2.12319,6.016129,2.53818,5,1,0,37,37,22,218.20059299998684,,4.0,1.863299599965103,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Hast,3.84375,2.001735,5.539683,2.551568,7.412698,1.914587,4,1,0,38,38,43,220.11674100003438,,2.0,1.8678697000141256,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Lampe,5.365079,0.97222,2.274194,1.917729,1.285714,0.633184,5,2,0,39,39,55,222.0327343000099,,5.0,1.3741638999781571,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Dampf,5.015625,0.604013,2.40625,1.55041,3.322581,2.487834,5,1,0,40,40,18,223.435525399982,,2.0,1.443084899976384,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
Stunk,3.53125,2.281525,5.90625,2.314336,6.822581,2.161695,5,1,0,41,41,79,224.93169769999804,,3.0,1.542879400018137,059528,001,2023-10-25_15h09.04.828,demo_experiment,2023.2.3,60.18958515547771,2023-10-25 15h09.11.961086 +0200,
