word,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Urne,3.5625,2.114763,4.809524,2.558081,2.0,1.45912,4,2,0,0,0,89,49.2749522079248,,3.0,10.027218458009884,266351,001,2023-10-27_12h57.09.020,demo_experiment,2023.2.3,None,2023-10-27 12h57.18.333207 +0200,
Vortrag,5.28125,1.147375,2.725807,2.073797,4.888889,2.609605,7,2,0,1,1,90,59.32242691691499,,2.0,4.243565124925226,266351,001,2023-10-27_12h57.09.020,demo_experiment,2023.2.3,None,2023-10-27 12h57.18.333207 +0200,
Bestand,4.984375,0.845008,2.190476,1.664207,6.725807,2.416944,7,2,0,2,2,11,63.599283332936466,,2.0,2.988895665970631,266351,001,2023-10-27_12h57.09.020,demo_experiment,2023.2.3,None,2023-10-27 12h57.18.333207 +0200,
Gift,3.390625,2.32732,6.52381,2.284994,4.190476,2.717074,4,1,0,3,3,37,66.60341645800509,,3.0,4.779048249940388,266351,001,2023-10-27_12h57.09.020,demo_experiment,2023.2.3,None,2023-10-27 12h57.18.333207 +0200,
Schal,5.203125,1.544881,2.507937,1.990891,1.634921,1.248245,5,1,0,4,4,72,71.4242349169217,,4.0,4.860663166968152,266351,001,2023-10-27_12h57.09.020,demo_experiment,2023.2.3,None,2023-10-27 12h57.18.333207 +0200,
Schnur,4.90625,0.683566,2.145161,1.667891,1.790323,1.202962,6,1,0,5,5,74,76.3055753329536,,5.0,2.2223389169666916,266351,001,2023-10-27_12h57.09.020,demo_experiment,2023.2.3,None,2023-10-27 12h57.18.333207 +0200,
Hymne,5.765625,1.941544,4.1875,2.435681,5.129032,2.748972,5,2,0,6,6,47,78.56648049992509,,1.0,3.2925447078887373,266351,001,2023-10-27_12h57.09.020,demo_experiment,2023.2.3,None,2023-10-27 12h57.18.333207 +0200,
Beruf,5.671875,1.533278,2.90625,2.201866,5.904762,2.698353,5,2,0,7,7,10,81.87166745797731,,2.0,2.939004708081484,266351,001,2023-10-27_12h57.09.020,demo_experiment,2023.2.3,None,2023-10-27 12h57.18.333207 +0200,
Schuh,5.375,1.558387,2.734375,2.169355,1.31746,0.779276,5,1,0,8,8,75,84.8402856249595,,5.0,2.3952853340888396,266351,001,2023-10-27_12h57.09.020,demo_experiment,2023.2.3,None,2023-10-27 12h57.18.333207 +0200,
Geier,4.25,1.885618,3.83871,2.334303,1.666667,1.295152,5,2,0,9,9,31,87.27223762497306,,5.0,1.7116317079635337,266351,001,2023-10-27_12h57.09.020,demo_experiment,2023.2.3,None,2023-10-27 12h57.18.333207 +0200,
Helfer,6.66129,2.475742,4.571429,2.600957,4.714286,2.696644,6,2,0,10,10,44,89.005997958011,,2.0,4.777927332906984,266351,001,2023-10-27_12h57.09.020,demo_experiment,2023.2.3,None,2023-10-27 12h57.18.333207 +0200,
Wunsch,6.322581,2.046782,5.3125,2.455153,7.919355,1.518178,6,1,0,11,11,93,93.81982366694137,,1.0,2.792668249923736,266351,001,2023-10-27_12h57.09.020,demo_experiment,2023.2.3,None,2023-10-27 12h57.18.333207 +0200,
