word,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Lüge,3.578125,2.24531,6.887097,2.049429,7.442623,2.276874,4,2,0,0,0,57,17.30928079970181,,3.0,5.535461800172925,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Mystik,5.730159,1.638315,4.90625,2.361858,7.887097,1.865167,6,2,0,1,1,60,22.88310900144279,,2.0,11.394402001053095,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Inhalt,5.140625,0.989904,2.131148,1.687952,6.571429,2.353544,6,2,0,2,2,49,34.30839090049267,,1.0,4.368282400071621,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Gunst,6.174603,1.631739,3.609375,2.272103,7.435484,1.770625,5,1,0,3,3,39,38.703953901305795,,2.0,4.409612100571394,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Butter,4.936508,0.948224,2.306452,1.825042,1.693548,1.064921,6,2,0,4,4,16,43.137483701109886,,5.0,2.0440082009881735,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Fleiss,6.460318,1.941278,4.238095,2.204938,7.725807,1.651322,5,1,0,5,5,24,45.204183800145984,,2.0,3.075909700244665,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Stunk,3.53125,2.281525,5.90625,2.314336,6.822581,2.161695,5,1,0,6,6,79,48.30434050038457,,2.0,2.395566100254655,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Bündel,5.03125,0.835117,2.741936,2.087712,3.174603,2.317811,6,2,0,7,7,15,50.721250001341105,,4.0,2.394291900098324,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Stapel,4.96875,0.616409,1.918033,1.68617,2.984127,2.239615,6,2,0,8,8,77,53.137958800420165,,5.0,1.9938232004642487,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Bahn,5.125,1.18857,2.806452,2.481662,1.612903,1.07665,4,1,0,9,9,7,55.15463410131633,,5.0,1.312923500314355,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Picknick,6.258065,2.209781,4.671875,2.26817,3.301587,2.387028,8,2,0,10,10,68,56.488091200590134,,5.0,1.3944435995072126,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Sucht,3.238095,2.427758,6.349206,1.952325,7.564516,1.996891,5,1,0,11,11,80,57.90487669967115,,3.0,3.596460599452257,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Betrug,3.25,2.519763,5.857143,2.638775,6.677419,2.386947,6,2,0,12,12,12,61.52193120121956,,2.0,2.943572098389268,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Lampe,5.365079,0.97222,2.274194,1.917729,1.285714,0.633184,5,2,0,13,13,55,64.48842339962721,,5.0,2.561912801116705,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Gezänk,3.328125,2.047489,5.0625,2.455153,6.984127,2.105998,6,2,0,14,14,36,67.07189420051873,,2.0,3.0772534999996424,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Advent,6.301587,2.060652,4.079365,2.671846,5.306452,2.928597,6,2,0,15,15,1,70.17198430001736,,4.0,3.523487100377679,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Schuh,5.375,1.558387,2.734375,2.169355,1.31746,0.779276,5,1,0,16,16,75,73.72226690128446,,5.0,1.813324799761176,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Stress,3.515625,2.316211,5.777778,2.574343,7.349206,2.033262,6,1,0,17,17,78,75.55566530115902,,2.0,2.496084298938513,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Vortrag,5.28125,1.147375,2.725807,2.073797,4.888889,2.609605,7,2,0,18,18,90,78.0725200008601,,4.0,2.3395517989993095,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Geheul,3.59375,2.068039,5.31746,2.347445,6.142857,2.381766,6,2,0,19,19,30,80.43927779980004,,4.0,2.2458756007254124,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Infarkt,3.109375,2.539324,6.885246,2.129932,4.571429,2.849529,7,2,0,20,20,48,82.70608969964087,,3.0,4.797858098521829,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Einfahrt,5.09375,0.830352,1.983871,1.583645,4.079365,2.62925,8,2,0,21,21,20,87.52291520126164,,5.0,2.4113129004836082,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Reptil,4.75,1.414214,3.640625,2.228012,2.241936,1.585648,6,2,0,22,22,70,89.95609320141375,,5.0,1.541041400283575,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Tasche,5.09375,1.136952,2.412698,1.880588,1.596774,1.151758,6,2,0,23,23,83,91.52314390055835,,5.0,1.0636755004525185,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Tugend,6.225807,2.1533,4.603175,2.366021,7.548387,2.013702,6,2,0,24,24,87,92.60632009990513,,1.0,2.66170939989388,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Glaube,5.952381,2.239157,4.564516,2.287679,8.048387,1.768832,6,2,0,25,25,38,95.28969830088317,,2.0,2.725797099992633,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Tragik,4.171875,2.059085,5.09375,2.293668,8.290323,0.964741,6,2,0,26,26,84,98.03996520116925,,2.0,4.045863600447774,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Becken,5.421875,1.44535,2.714286,2.01949,2.274194,1.738375,6,2,0,27,27,9,102.10691940039396,,5.0,2.3466349989175797,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Anhang,5.015625,0.983873,2.33871,1.889952,6.016129,2.790452,6,2,0,28,28,3,104.47368269972503,,3.0,2.995100999251008,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Wohl,6.193548,1.982205,4.765625,2.355286,7.564516,2.093088,4,1,0,29,29,92,107.49043260142207,,2.0,2.277862399816513,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Faden,5.0625,0.61399,2.114754,1.761613,1.698413,1.041632,5,2,0,30,30,21,109.79051300138235,,5.0,2.014876399189234,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Ordner,5.171875,1.032099,2.196721,1.777823,2.380952,2.330918,6,2,0,31,31,62,111.82394530065358,,5.0,1.9782795011997223,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Dampf,5.015625,0.604013,2.40625,1.55041,3.322581,2.487834,5,1,0,32,32,18,113.82406430132687,,5.0,1.7441771999001503,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Anzahl,5.126984,0.729385,2.33871,1.983072,6.770492,2.30502,6,2,0,33,33,5,115.5908959005028,,3.0,3.1290985997766256,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Bankrott,3.063492,2.614309,5.1875,2.724813,6.16129,2.920777,8,2,0,34,34,8,118.74082029983401,,2.0,2.5140465013682842,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
Gift,3.390625,2.32732,6.52381,2.284994,4.190476,2.717074,4,1,0,35,35,37,121.27444250136614,,5.0,2.5298773013055325,477384,001,2023-10-30_16h10.07.882,demo_experiment,2023.2.3,59.99001803194949,2023-10-30 16h10.20.027820 +0100,
