word,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Vortrag,5.28125,1.147375,2.725807,2.073797,4.888889,2.609605,7,2,0,0,0,90,14.355482700048015,,1.0,12.799627100117505,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Phobie,3.412698,2.460232,6.15625,2.365216,8.0,1.471032,6,2,0,1,1,67,27.183267900021747,,1.0,2.6544162000063807,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Stapel,4.96875,0.616409,1.918033,1.68617,2.984127,2.239615,6,2,0,2,2,77,29.864886099938303,,5.0,3.1264399997889996,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Stress,3.515625,2.316211,5.777778,2.574343,7.349206,2.033262,6,1,0,3,3,78,33.015017699915916,,1.0,2.9929399001412094,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Denkmal,5.703125,1.465797,3.3125,2.046096,1.936508,1.63503,7,1,0,4,4,19,36.03160970006138,,5.0,2.9765228999312967,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Tasche,5.09375,1.136952,2.412698,1.880588,1.596774,1.151758,6,2,0,5,5,83,39.031662200111896,,5.0,3.6107354001142085,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Kreide,5.046875,0.764898,2.21875,1.588338,1.451613,0.761307,6,2,0,6,6,52,42.66510029998608,,5.0,4.911268800031394,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Bahn,5.125,1.18857,2.806452,2.481662,1.612903,1.07665,4,1,0,7,7,7,47.598590000066906,,5.0,1.7432313999161124,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Betrug,3.25,2.519763,5.857143,2.638775,6.677419,2.386947,6,2,0,8,8,12,49.36542070005089,,1.0,2.6937212999910116,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Harem,4.953125,2.058121,5.140625,2.474423,4.190476,2.614211,5,2,0,9,9,41,52.081960200099275,,5.0,3.810119300149381,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Ordner,5.171875,1.032099,2.196721,1.777823,2.380952,2.330918,6,2,0,10,10,62,55.91550819994882,,5.0,1.7937755999155343,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Reptil,4.75,1.414214,3.640625,2.228012,2.241936,1.585648,6,2,0,11,11,70,57.731950300047174,,5.0,3.6108405999839306,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Irrsinn,3.9375,1.934441,5.539683,2.354306,7.419355,1.815673,7,2,0,12,12,50,61.36568340007216,,2.0,4.028102300129831,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Bohne,5.109375,1.009749,2.492064,1.974621,1.603175,1.085679,5,2,0,13,13,13,65.4156206001062,,5.0,2.5449870000593364,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Bad,6.063492,1.785904,3.904762,2.786571,1.774194,1.31098,3,1,0,14,14,6,67.98215920012444,,5.0,3.9965864999685436,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Abfahrt,5.046875,0.966579,2.096774,1.467793,5.412698,2.60666,7,2,0,15,15,0,71.99897959991358,,1.0,5.626019400078803,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Triumph,6.419355,2.243741,6.301587,2.550363,7.387097,1.986469,7,2,0,16,16,86,77.6490507000126,,3.0,4.896045899949968,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Geheul,3.59375,2.068039,5.31746,2.347445,6.142857,2.381766,6,2,0,17,17,30,82.56585000013001,,3.0,3.7104213000275195,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Zimmer,5.375,0.967733,2.650794,2.041179,2.238095,1.729388,6,2,0,18,18,97,86.29948820010759,,5.0,3.1273002000525594,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Feind,3.079365,2.384774,7.0,2.12319,6.016129,2.53818,5,1,0,19,19,22,89.44932499993593,,5.0,1.9283672999590635,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Becken,5.421875,1.44535,2.714286,2.01949,2.274194,1.738375,6,2,0,20,20,9,91.3994484001305,,5.0,2.678378999931738,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Hengst,5.453125,1.413424,4.285714,2.445724,2.209677,1.784607,6,1,0,21,21,45,94.09954109997489,,5.0,1.912019900046289,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Bestand,4.984375,0.845008,2.190476,1.664207,6.725807,2.416944,7,2,0,22,22,11,96.03261659992859,,4.0,4.162137300008908,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Tragik,4.171875,2.059085,5.09375,2.293668,8.290323,0.964741,6,2,0,23,23,84,100.2164533000905,,1.0,3.697545100003481,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
Handlung,5.112903,0.9427,3.0,1.909231,6.612903,2.397778,8,2,0,24,24,40,103.93291849992238,,1.0,2.4780949999112636,717206,001,2023-10-25_09h33.13.797,demo_experiment,2023.2.3,59.971417642085584,2023-10-25 09h33.23.755805 +0200,
