word,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Dach,5.171875,1.120582,2.42623,1.765021,1.580645,1.0643,4,1,0,0,0,17,57.89026278899837,,5.0,12.968556268999237,194747,001,2023-10-26_14h44.13.415,demo_experiment,2023.2.3,59.13383175872822,2023-10-26 14h44.19.001310 +0200,
Harem,4.953125,2.058121,5.140625,2.474423,4.190476,2.614211,5,2,0,1,1,41,70.91195223899922,,4.0,7.778602353002498,194747,001,2023-10-26_14h44.13.415,demo_experiment,2023.2.3,59.13383175872822,2023-10-26 14h44.19.001310 +0200,
Becken,5.421875,1.44535,2.714286,2.01949,2.274194,1.738375,6,2,0,2,2,9,78.74094618099844,,5.0,3.9036998900010076,194747,001,2023-10-26_14h44.13.415,demo_experiment,2023.2.3,59.13383175872822,2023-10-26 14h44.19.001310 +0200,
Kotze,2.825397,2.636834,6.419355,2.329767,1.952381,1.507279,5,2,0,3,3,51,82.68767615199977,,5.0,3.363070649000292,194747,001,2023-10-26_14h44.13.415,demo_experiment,2023.2.3,59.13383175872822,2023-10-26 14h44.19.001310 +0200,
Einfahrt,5.09375,0.830352,1.983871,1.583645,4.079365,2.62925,8,2,0,4,4,20,86.09772541699931,,5.0,2.4583603469982336,194747,001,2023-10-26_14h44.13.415,demo_experiment,2023.2.3,59.13383175872822,2023-10-26 14h44.19.001310 +0200,
Gemahl,5.75,1.708987,3.984127,2.331358,4.349206,2.640618,6,2,0,5,5,34,88.60009328500018,,3.0,4.94832482199854,194747,001,2023-10-26_14h44.13.415,demo_experiment,2023.2.3,59.13383175872822,2023-10-26 14h44.19.001310 +0200,
Meer,6.451613,2.413605,5.428571,2.716225,2.253968,2.078835,4,1,0,6,6,59,93.59715482499814,,5.0,2.2447214929998154,194747,001,2023-10-26_14h44.13.415,demo_experiment,2023.2.3,59.13383175872822,2023-10-26 14h44.19.001310 +0200,
Parfüm,6.380952,2.202847,4.952381,2.310066,2.774194,2.228131,6,2,0,7,7,65,95.88648670199836,,4.0,4.808389251000335,194747,001,2023-10-26_14h44.13.415,demo_experiment,2023.2.3,59.13383175872822,2023-10-26 14h44.19.001310 +0200,
Anreiz,6.112903,1.934203,4.84375,2.338218,7.285714,2.090135,6,2,0,8,8,4,100.74289455100006,,2.0,3.9438882610011206,194747,001,2023-10-26_14h44.13.415,demo_experiment,2023.2.3,59.13383175872822,2023-10-26 14h44.19.001310 +0200,
Gezänk,3.328125,2.047489,5.0625,2.455153,6.984127,2.105998,6,2,0,9,9,36,104.73676285900001,,1.0,4.640905565000139,194747,001,2023-10-26_14h44.13.415,demo_experiment,2023.2.3,59.13383175872822,2023-10-26 14h44.19.001310 +0200,
Picknick,6.258065,2.209781,4.671875,2.26817,3.301587,2.387028,8,2,0,10,10,68,109.42046274200038,,5.0,2.822117255997,194747,001,2023-10-26_14h44.13.415,demo_experiment,2023.2.3,59.13383175872822,2023-10-26 14h44.19.001310 +0200,
Zug,5.269841,1.050443,2.16129,1.601163,1.571429,1.102991,3,1,0,11,11,99,112.2900904119997,,5.0,1.8891248899999482,194747,001,2023-10-26_14h44.13.415,demo_experiment,2023.2.3,59.13383175872822,2023-10-26 14h44.19.001310 +0200,
Mama,6.333333,2.429656,6.171875,2.250606,3.222222,2.660611,4,2,0,12,12,58,114.22439331999703,,5.0,4.521945892000076,194747,001,2023-10-26_14h44.13.415,demo_experiment,2023.2.3,59.13383175872822,2023-10-26 14h44.19.001310 +0200,
Schale,5.15873,0.936816,2.672131,1.989316,1.854839,1.597609,6,2,0,13,13,73,118.79096279299847,,5.0,2.3726535030000377,194747,001,2023-10-26_14h44.13.415,demo_experiment,2023.2.3,59.13383175872822,2023-10-26 14h44.19.001310 +0200,
Geilheit,4.890625,2.19029,7.03125,1.708696,7.774194,1.731287,8,2,0,14,14,32,121.21301404099722,,2.0,4.0316720720002195,194747,001,2023-10-26_14h44.13.415,demo_experiment,2023.2.3,59.13383175872822,2023-10-26 14h44.19.001310 +0200,
