word,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Bankrott,3.063492,2.614309,5.1875,2.724813,6.16129,2.920777,8,2,0,0,0,8,1.3310119999950984,,1.0,7.834383800000069,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Einfahrt,5.09375,0.830352,1.983871,1.583645,4.079365,2.62925,8,2,0,1,1,20,9.246432799991453,,5.0,2.9602840000006836,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Fluch,3.253968,2.257377,5.68254,2.428496,7.52381,1.82153,5,1,0,2,2,25,12.280985699995654,,2.0,2.453164000005927,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Gebäck,6.0625,1.717094,3.234375,2.180303,2.0,1.305725,6,2,0,3,3,28,14.79867839999497,,5.0,1.9972836999950232,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Kummer,3.296875,2.517745,5.109375,2.35107,7.920635,1.649062,6,2,0,4,4,53,16.866114099990227,,1.0,2.342304099991452,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Schnur,4.90625,0.683566,2.145161,1.667891,1.790323,1.202962,6,1,0,5,5,74,19.266956799998297,,5.0,2.2131063000124414,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Denkmal,5.703125,1.465797,3.3125,2.046096,1.936508,1.63503,7,1,0,6,6,19,21.551434699998936,,4.0,3.3135004000068875,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Schuh,5.375,1.558387,2.734375,2.169355,1.31746,0.779276,5,1,0,7,7,75,24.90241569999489,,5.0,1.9339253999933135,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Würde,6.380952,2.253518,4.65625,2.405145,8.032258,1.792221,5,2,0,8,8,94,26.886283100000583,,2.0,2.11999070001184,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Zufuhr,5.015625,0.577135,2.065574,1.681952,5.693548,2.460099,6,2,0,9,9,98,29.087299699996947,,1.0,2.3953019000036875,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Zug,5.269841,1.050443,2.16129,1.601163,1.571429,1.102991,3,1,0,10,10,99,31.5231061999948,,5.0,2.2158819000032963,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Lüge,3.578125,2.24531,6.887097,2.049429,7.442623,2.276874,4,2,0,11,11,57,33.82250379999459,,1.0,3.3735858000000007,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Tango,6.25,2.130653,4.796875,2.495581,3.774194,2.418639,5,2,0,12,12,81,37.25707639999746,,5.0,1.7401203999907011,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Tänzer,5.904762,2.005752,5.52381,2.638775,3.31746,2.263493,6,2,0,13,13,82,39.04086459999962,,5.0,1.2457590000121854,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Opfer,3.0,2.469165,6.428571,2.298066,4.968254,2.614897,5,2,0,14,14,61,40.35819400000037,,5.0,2.00322210000013,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Freund,6.9375,2.587362,7.111111,2.215132,4.730159,2.846653,6,1,0,15,15,27,42.41322879999643,,5.0,2.1833922999940114,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Wissen,6.15873,2.201219,4.68254,2.752274,7.870968,1.56272,6,2,0,16,16,91,44.65990669999155,,2.0,3.257978200010257,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Meer,6.451613,2.413605,5.428571,2.716225,2.253968,2.078835,4,1,0,17,17,59,47.9943726999918,,5.0,2.0282594000018435,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Bohne,5.109375,1.009749,2.492064,1.974621,1.603175,1.085679,5,2,0,18,18,13,50.09541829999944,,5.0,1.3315210000000661,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Geilheit,4.890625,2.19029,7.03125,1.708696,7.774194,1.731287,8,2,0,19,19,32,51.479122299992014,,1.0,2.205486799997743,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Anreiz,6.112903,1.934203,4.84375,2.338218,7.285714,2.090135,6,2,0,20,20,4,53.74645489999966,,2.0,2.1432172000058927,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Liebchen,6.206349,1.667127,5.09375,2.334821,6.428571,2.029733,8,2,0,21,21,56,55.9489528999984,,2.0,1.8815084999951068,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Bonbon,5.984127,1.755104,3.3125,2.069238,1.741936,1.213794,6,2,0,22,22,14,57.88454769999953,,5.0,2.059987899992848,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Bestand,4.984375,0.845008,2.190476,1.664207,6.725807,2.416944,7,2,0,23,23,11,60.000282099994365,,1.0,1.847717199998442,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Mama,6.333333,2.429656,6.171875,2.250606,3.222222,2.660611,4,2,0,24,24,58,61.885181799996644,,4.0,2.2840093999984674,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Zelt,5.734375,1.555759,3.269841,2.208534,1.460318,0.839074,4,1,0,25,25,96,64.2364619,,5.0,1.932821900001727,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Faden,5.0625,0.61399,2.114754,1.761613,1.698413,1.041632,5,2,0,26,26,21,66.25115619999997,,5.0,1.2615722000045935,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Härte,4.59375,1.874802,4.15625,2.324601,6.483871,2.494203,5,2,0,27,27,42,67.5849823999888,,2.0,1.97671299999638,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Gunst,6.174603,1.631739,3.609375,2.272103,7.435484,1.770625,5,1,0,28,28,39,69.6211287999904,,1.0,2.1660964000038803,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Hymne,5.765625,1.941544,4.1875,2.435681,5.129032,2.748972,5,2,0,29,29,47,71.8385380999971,,2.0,2.1779708999965806,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Parfüm,6.380952,2.202847,4.952381,2.310066,2.774194,2.228131,6,2,0,30,30,65,74.07425169998896,,4.0,1.9424369999906048,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Säufer,3.3125,2.46805,6.578125,2.266419,4.206349,2.634503,6,2,0,31,31,71,76.0722867000004,,3.0,2.367102899996098,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
Hölle,3.0,2.71003,6.555556,2.421528,6.774194,2.601509,5,2,0,32,32,46,78.48908919999667,,3.0,2.5656909000099404,724122,001,2023-10-25_17h22.06.939,demo_experiment,2023.2.3,59.976309357202325,2023-10-25 17h22.13.692085 +0200,
