word,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Würde,6.380952,2.253518,4.65625,2.405145,8.032258,1.792221,5,2,0,0,0,94,23.190112706972286,,1.0,21.861331488005817,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Helfer,6.66129,2.475742,4.571429,2.600957,4.714286,2.696644,6,2,0,1,1,44,45.09299296303652,,1.0,21.75728944595903,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Paket,5.484375,1.297032,2.650794,2.056922,1.83871,1.427982,5,2,0,2,2,64,66.8876566591207,,5.0,5.159257601946592,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Mama,6.333333,2.429656,6.171875,2.250606,3.222222,2.660611,4,2,0,3,3,58,72.08976309606805,,5.0,10.913583386223763,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Härte,4.59375,1.874802,4.15625,2.324601,6.483871,2.494203,5,2,0,4,4,42,83.04504416696727,,5.0,6.141854732995853,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Meer,6.451613,2.413605,5.428571,2.716225,2.253968,2.078835,4,1,0,5,5,59,89.22589264111593,,5.0,6.9309944040142,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Getier,4.380952,1.790914,4.546875,2.672195,4.015873,2.808352,6,2,0,6,6,35,96.201354641933,,3.0,29.848227139096707,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Gemahl,5.75,1.708987,3.984127,2.331358,4.349206,2.640618,6,2,0,7,7,34,126.08993725501932,,5.0,7.512612706050277,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Kummer,3.296875,2.517745,5.109375,2.35107,7.920635,1.649062,6,2,0,8,8,53,133.64055803790689,,2.0,6.799231945071369,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Zimmer,5.375,0.967733,2.650794,2.041179,2.238095,1.729388,6,2,0,9,9,97,140.4779625129886,,5.0,11.992583306040615,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Hast,3.84375,2.001735,5.539683,2.551568,7.412698,1.914587,4,1,0,10,10,43,152.50985631905496,,1.0,23.11229402711615,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Urin,3.671875,1.782229,6.31746,2.220327,2.222222,1.72687,4,2,0,11,11,88,175.66277381498367,,5.0,3.231183612952009,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Kreide,5.046875,0.764898,2.21875,1.588338,1.451613,0.761307,6,2,0,12,12,52,178.93588618608192,,5.0,3.0843177190981805,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Hengst,5.453125,1.413424,4.285714,2.445724,2.209677,1.784607,6,1,0,13,13,45,182.06206039595418,,5.0,19.839766121003777,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Pest,2.904762,2.860827,6.84127,2.171712,4.612903,2.932882,4,1,0,14,14,66,201.93804232007824,,5.0,6.919120258884504,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Schuh,5.375,1.558387,2.734375,2.169355,1.31746,0.779276,5,1,0,15,15,75,208.8976016319357,,5.0,2.0719354629982263,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Beruf,5.671875,1.533278,2.90625,2.201866,5.904762,2.698353,5,2,0,16,16,10,211.00650195707567,,3.0,7.671973638935015,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Betrug,3.25,2.519763,5.857143,2.638775,6.677419,2.386947,6,2,0,17,17,12,218.71643646107987,,2.0,8.340018311981112,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Einfahrt,5.09375,0.830352,1.983871,1.583645,4.079365,2.62925,8,2,0,18,18,20,227.09548207512125,,4.0,9.201489774044603,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Irrsinn,3.9375,1.934441,5.539683,2.354306,7.419355,1.815673,7,2,0,19,19,50,236.33923499495722,,1.0,4.525397340068594,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
Paar,6.492064,2.256696,5.095238,2.374015,4.174603,2.768135,4,1,0,20,20,63,240.9028794169426,,3.0,7.627692001871765,275162,001,2023-10-26_14h27.28.987,demo_experiment,2023.2.3,59.97776557725622,2023-10-26 14h27.33.393704 +0200,
