word,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Gift,3.390625,2.32732,6.52381,2.284994,4.190476,2.717074,4,1,0,0,0,37,2.065897899970878,,4.0,17.396203899988905,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Zimmer,5.375,0.967733,2.650794,2.041179,2.238095,1.729388,6,2,0,1,1,97,19.5106928999885,,5.0,3.470168499974534,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Beruf,5.671875,1.533278,2.90625,2.201866,5.904762,2.698353,5,2,0,2,2,10,23.026330299966503,,2.0,3.6758095999830402,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Wohl,6.193548,1.982205,4.765625,2.355286,7.564516,2.093088,4,1,0,3,3,92,26.75149449997116,,1.0,2.7564587999950163,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Feind,3.079365,2.384774,7.0,2.12319,6.016129,2.53818,5,1,0,4,4,22,29.550212399975862,,2.0,2.828578800021205,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Tango,6.25,2.130653,4.796875,2.495581,3.774194,2.418639,5,2,0,5,5,81,32.42301949998364,,3.0,3.111036399961449,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Kotze,2.825397,2.636834,6.419355,2.329767,1.952381,1.507279,5,2,0,6,6,51,35.58158920001006,,5.0,4.7786746000056155,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Parfüm,6.380952,2.202847,4.952381,2.310066,2.774194,2.228131,6,2,0,7,7,65,40.40801610000199,,2.0,5.109277300012764,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Gezänk,3.328125,2.047489,5.0625,2.455153,6.984127,2.105998,6,2,0,8,8,36,45.563521999982186,,3.0,4.067504800041206,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Wunsch,6.322581,2.046782,5.3125,2.455153,7.919355,1.518178,6,1,0,9,9,93,49.67323499999475,,1.0,3.786851100041531,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Abfahrt,5.046875,0.966579,2.096774,1.467793,5.412698,2.60666,7,2,0,10,10,0,53.50730080000358,,2.0,2.840788399975281,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Sucht,3.238095,2.427758,6.349206,1.952325,7.564516,1.996891,5,1,0,11,11,80,56.391081299982034,,2.0,6.475984800024889,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Urin,3.671875,1.782229,6.31746,2.220327,2.222222,1.72687,4,2,0,12,12,88,62.92030259995954,,4.0,2.429820200020913,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Tugend,6.225807,2.1533,4.603175,2.366021,7.548387,2.013702,6,2,0,13,13,87,65.3901223000139,,1.0,3.7495167999877594,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Produkt,5.140625,0.870453,2.253968,1.645799,4.380952,2.942616,7,2,0,14,14,69,69.18000990001019,,4.0,2.9709738999954425,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Schale,5.15873,0.936816,2.672131,1.989316,1.854839,1.597609,6,2,0,15,15,73,72.1936238000053,,5.0,2.5099923000088893,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Fleiss,6.460318,1.941278,4.238095,2.204938,7.725807,1.651322,5,1,0,16,16,24,74.7439788999618,,2.0,2.6505284999730065,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Felsen,5.390625,1.304658,3.274194,2.166582,1.258065,0.541264,6,2,0,17,17,23,77.43455389997689,,5.0,4.120479199977126,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Geier,4.25,1.885618,3.83871,2.334303,1.666667,1.295152,5,2,0,18,18,31,81.5948444000096,,5.0,1.9341483999742195,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Stachel,4.476191,1.56429,4.0625,2.409472,1.873016,1.22464,7,2,0,19,19,76,83.57000569999218,,5.0,2.113638999988325,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Hast,3.84375,2.001735,5.539683,2.551568,7.412698,1.914587,4,1,0,20,20,43,85.72946040000534,,3.0,3.137558899994474,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
Bad,6.063492,1.785904,3.904762,2.786571,1.774194,1.31098,3,1,0,21,21,6,88.90719299996272,,5.0,2.758899600012228,450516,001,2023-11-01_08h27.47.185,demo_experiment,2023.2.3,60.01453553337424,2023-11-01 08h28.01.945300 +0100,
