word,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Urne,3.5625,2.114763,4.809524,2.558081,2.0,1.45912,4,2,0,0,0,89,4.657860700041056,,4.0,22.177512099966407,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Zug,5.269841,1.050443,2.16129,1.601163,1.571429,1.102991,3,1,0,1,1,99,26.878185600042343,,5.0,5.002436299924739,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Helfer,6.66129,2.475742,4.571429,2.600957,4.714286,2.696644,6,2,0,2,2,44,31.912408599979244,,4.0,5.9952097000787035,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Paket,5.484375,1.297032,2.650794,2.056922,1.83871,1.427982,5,2,0,3,3,64,37.940663999994285,,4.0,4.107213499955833,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Geheul,3.59375,2.068039,5.31746,2.347445,6.142857,2.381766,6,2,0,4,4,30,42.07751209998969,,4.0,6.6215312000131235,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Fluch,3.253968,2.257377,5.68254,2.428496,7.52381,1.82153,5,1,0,5,5,25,48.72836820001248,,2.0,3.8850365999387577,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Stapel,4.96875,0.616409,1.918033,1.68617,2.984127,2.239615,6,2,0,6,6,77,52.641890099970624,,3.0,4.6468838000437245,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Tänzer,5.904762,2.005752,5.52381,2.638775,3.31746,2.263493,6,2,0,7,7,82,57.33074060000945,,5.0,4.249297900008969,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Feind,3.079365,2.384774,7.0,2.12319,6.016129,2.53818,5,1,0,8,8,22,61.607937499997206,,3.0,6.2779844999313354,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Stress,3.515625,2.316211,5.777778,2.574343,7.349206,2.033262,6,1,0,9,9,78,67.91468260006513,,1.0,3.735088999965228,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Hölle,3.0,2.71003,6.555556,2.421528,6.774194,2.601509,5,2,0,10,10,46,71.67862490005791,,2.0,4.869449099991471,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Einfahrt,5.09375,0.830352,1.983871,1.583645,4.079365,2.62925,8,2,0,11,11,20,76.57779839995783,,3.0,4.13845259998925,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Geilheit,4.890625,2.19029,7.03125,1.708696,7.774194,1.731287,8,2,0,12,12,32,80.7418156999629,,2.0,5.84700240008533,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Bahn,5.125,1.18857,2.806452,2.481662,1.612903,1.07665,4,1,0,13,13,7,86.61764249997213,,3.0,2.4215240000048652,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Kotze,2.825397,2.636834,6.419355,2.329767,1.952381,1.507279,5,2,0,14,14,51,89.06661900004838,,4.0,2.6077348000835627,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Kummer,3.296875,2.517745,5.109375,2.35107,7.920635,1.649062,6,2,0,15,15,53,91.70135079999454,,2.0,2.476002600044012,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Schuh,5.375,1.558387,2.734375,2.169355,1.31746,0.779276,5,1,0,16,16,75,94.20631120004691,,5.0,2.3048179000616074,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Tragik,4.171875,2.059085,5.09375,2.293668,8.290323,0.964741,6,2,0,17,17,84,96.53973530000076,,2.0,3.4812635999405757,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Abfahrt,5.046875,0.966579,2.096774,1.467793,5.412698,2.60666,7,2,0,18,18,0,100.0442108999705,,3.0,1.9477484999224544,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Freibad,6.079365,2.034395,3.703125,2.14313,2.333333,2.047816,7,1,0,19,19,26,102.02303300006315,,4.0,4.026052300003357,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Anhang,5.015625,0.983873,2.33871,1.889952,6.016129,2.790452,6,2,0,20,20,3,106.06898650003131,,3.0,2.805320700048469,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Tripper,3.142857,2.663112,6.265625,2.463977,4.951613,3.091116,7,2,0,21,21,85,108.90680480003357,,2.0,3.4005557000637054,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Geier,4.25,1.885618,3.83871,2.334303,1.666667,1.295152,5,2,0,22,22,31,112.32578339998145,,5.0,13.08202309999615,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Hymne,5.765625,1.941544,4.1875,2.435681,5.129032,2.748972,5,2,0,23,23,47,125.4608453999972,,4.0,2.6003731000237167,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Gemahl,5.75,1.708987,3.984127,2.331358,4.349206,2.640618,6,2,0,24,24,34,128.08718829997815,,4.0,2.6212727000238374,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Anreiz,6.112903,1.934203,4.84375,2.338218,7.285714,2.090135,6,2,0,25,25,4,130.7398141999729,,2.0,2.9022116999840364,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Zimmer,5.375,0.967733,2.650794,2.041179,2.238095,1.729388,6,2,0,26,26,97,133.6730595000554,,4.0,1.9540792000479996,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Infarkt,3.109375,2.539324,6.885246,2.129932,4.571429,2.849529,7,2,0,27,27,48,135.6421559000155,,4.0,3.83910940005444,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Mama,6.333333,2.429656,6.171875,2.250606,3.222222,2.660611,4,2,0,28,28,58,139.5117017000448,,4.0,3.7736884000478312,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Bohne,5.109375,1.009749,2.492064,1.974621,1.603175,1.085679,5,2,0,29,29,13,143.32316440006252,,5.0,2.1179180999752134,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
Betrug,3.25,2.519763,5.857143,2.638775,6.677419,2.386947,6,2,0,30,30,12,145.45584820001386,,2.0,3.00125480000861,694776,001,2023-10-30_23h01.30.207,demo_experiment,2023.2.3,59.542841966634725,2023-10-30 23h02.39.374841 +0100,
